,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
27681,unknown,154 lbs. (70 kg) at 5'8'' (1.73 m),"Hong Kong, Hong Kong (China)",18th October 1992 (age 29),2009,Jason Lee,,,
28243,unknown,173 lbs. (78 kg) at 5'9'' (1.75 m),"New York City, New York (United States of America)",30th June 1991 (age 30),,Will Ferrara,,,
1518,Akira Kawabata,231 lbs. (105 kg) at 6'0'' (1.83 m),"Takarazuka, Hyogo (Japan)",17th July 1978 (age 43),1st February 1998 (24 years ago),SUSHI,,,
1145,Mike Sharpe,275 lbs. (125 kg) at 6'4'' (1.93 m),"Hamilton, Ontario (Canada)",28th October 1951,1975,Mike Sharpe,??th January 2016,,
149,John Hugger,240 lbs. (109 kg) at 6'2'' (1.88 m),"Atlanta, Georgia (United States of America)",20th April 1977 (age 44),1999,Rellik,,,
16,Jonathan Rechner,361 lbs. (164 kg) at 6'2'' (1.88 m),"Nutley, New Jersey (United States of America)",11th April 1972,1987,Balls Mahoney,12th April 2016,,
21381,William Morrissey,276 lbs. (125 kg) at 7'0'' (2.13 m),"New York City, New York (United States of America)",16th August 1986 (age 35),2010,W. Morrissey,,,
217,Warrior,280 lbs. (127 kg) at 6'4'' (1.93 m),"Crawfordsville, Indiana (United States of America)",16th June 1959,??th November 1985,Ultimate Warrior,8th April 2014,,
117,Jacqueline DeLois Moore,130 lbs. (59 kg) at 5'2'' (1.57 m),"Dallas, Texas (United States of America)",6th January 1964 (age 58),1988,Jacqueline ,,,
23161,Wong Yuk Lun,155 lbs. (70 kg) at 5'7'' (1.70 m),"Hong Kong, Hong Kong (China)",19th July 1987 (age 34),6th June 2009 (12 years ago),Ho Ho Lun,,,
1682,Tony Silipini,,"Rochester, Minnesota (United States of America)",20th April 1931,1956,Tony Marino,28th May 2021,236 lbs. (107 kg),
2203,Brian Fleming,220 lbs. (100 kg) at 6'2'' (1.88 m),"Vista, California (United States of America)",8th October 1971 (age 50),,Alkatrazz,,,
2386,Ron Hutchison,208 lbs. (94 kg) at 5'10'' (1.78 m),"Toronto, Ontario (Canada)",7th February 1964 (age 58),5th June 1983 (38 years ago),Ron Hutchison,,,
3116,unknown,209 lbs. (95 kg) at 5'7'' (1.70 m),"Guadalajara, Jalisco (Mexico)",15th June 1974 (age 47),??th May 1992,Exterminador,,,
5751,unknown,134 lbs. (61 kg) at 5'4'' (1.63 m),"Portsmouth, Hampshire, England (United Kingdom)",,20th December 2003 (18 years ago),Lion Kid,,,
15381,Alexis Reed Pillman,,United States of America,1983,2008,Lexi Pillman ,26th November 2009,,
16248,Jim Korderas,210 lbs. (95 kg) at 5'11'' (1.80 m),"Toronto, Ontario (Canada)",19th March 1962 (age 59),1985,Jim Korderas,,,
17370,Eric Watts,251 lbs. (114 kg) at 6'6'' (1.98 m),"Pasadena, California (United States of America)",31st July 1985 (age 36),,Eric Watts,,,
29656,Amer Spahic,187 lbs. (85 kg) at 5'9'' (1.75 m),Banja Luka (Bosnia and Herzegovina),24th August 1990 (age 31),,Dirty Dragan,,,
345,Chris Harris,232 lbs. (105 kg) at 6'3'' (1.91 m),"Fort Wright, Kentucky (United States of America)",25th December 1973 (age 48),??th November 1994,Braden Walker,,,
724,Dara Daivari,200 lbs. (91 kg) at 5'10'' (1.78 m),"Minneapolis, Minnesota (United States of America)",30th April 1984 (age 37),1999,Shawn Daivari,,,
294,Jonathan Anthony Wisniski,243 lbs. (110 kg) at 6'0'' (1.83 m),"Seattle, Washington (United States of America)",20th September 1951 (age 70),20th April 1970 (51 years ago),Greg Valentine,,,
2217,Edward John White,,Newfoundland and Labrador (Canada),18th May 1949,22nd May 1972 (49 years ago),Sailor White,26th August 2005,360 lbs. (163 kg),
5549,Gregory Skipper,265 lbs. (120 kg) at 6'1'' (1.85 m),"Minneapolis, Minnesota (United States of America)",10th October 1982 (age 39),,Greg Excellent,,,
708,Víctor Manuel Mar,220 lbs. (100 kg) at 5'11'' (1.80 m),"Ciudad de México, Ciudad de México (Mexico)",17th October 1954,21st April 1977 (44 years ago),Black Cat,28th January 2006,,
2234,Robert Markovich,240 lbs. (109 kg) at 6'2'' (1.88 m),United States of America,,,Bob Bradley,,,
5238,Jon Apsey,234 lbs. (106 kg) at 6'2'' (1.88 m),"Middlesbrough, North Yorkshire, England (United Kingdom)",13th December 1984 (age 37),,Cameron Kraze,,,
6111,Forrest Rhines,234 lbs. (106 kg) at 5'11'' (1.80 m),"New York City, New York (United States of America)",,,Buffa,,,
8540,Dustin Tyler Hazelett,155 lbs. (70 kg) at 6'1'' (1.85 m),"Louisa, Kentucky (United States of America)",29th April 1986 (age 35),23rd October 2004 (17 years ago),Dustin Hazelett,,,
13682,James Adam McSweeney,205 lbs. (93 kg) at 6'4'' (1.93 m),"London, Greater London, England (United Kingdom)",24th October 1980 (age 41),14th July 2007 (14 years ago),James McSweeney,,,
14119,Joel Lofton Jones,285 lbs. (129 kg) at 6'4'' (1.93 m),"Tyler, Texas (United States of America)",,1977,Joel Deaton,,,
15976,Nick Griffin,,United Kingdom,,,Dick Riley,,,
17378,Chris Cope,170 lbs. (77 kg) at 6'1'' (1.85 m),"Carmel Valley, California (United States of America)",,4th November 2007 (14 years ago),Chris Cope,,,
18118,Fabio Rogério Maldonado,205 lbs. (93 kg) at 6'1'' (1.85 m),"São Paulo, São Paulo (Brazil)",17th March 1980 (age 41),22nd September 2000 (21 years ago),Fábio Maldonado,,,
29742,Marius Langen,176 lbs. (80 kg) at 5'10'' (1.78 m),"Köln, Nordrhein-Westfalen (Germany)",18th August 1996 (age 25),2nd August 2014 (7 years ago),Marius van Beethoven,,,
280,James Reiher Snuka,245 lbs. (111 kg) at 5'10'' (1.78 m),Fiji,18th May 1943,1969,Jimmy Snuka,15th January 2017,,
26098,Eric Anthony Arndt,200 lbs. (91 kg) at 5'11'' (1.80 m),"Hackensack, New Jersey (United States of America)",8th December 1986 (age 35),25th October 2012 (9 years ago),nZo,,,
463,Robert Welch,240 lbs. (109 kg) at 6'5'' (1.96 m),"Dyersburg, Tennessee (United States of America)",14th May 1951 (age 70),1969,Robert Fuller,,,
824,James Harris,375 lbs. (170 kg) at 6'7'' (2.01 m),"Senatobia, Mississippi (United States of America)",28th May 1950,1974,Kamala,9th August 2020,,
663,Conrad Efraim,260 lbs. (118 kg) at 6'1'' (1.85 m),Antigua (Antigua and Barbuda),30th March 1945,1961,Special Delivery Jones,26th October 2008,,
3106,unknown,212 lbs. (96 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",7th January 1982 (age 40),23rd August 2004 (17 years ago),Escándalo,,,
218,Theodore James Petty,251 lbs. (114 kg) at 6'2'' (1.88 m),"Woodbridge, New Jersey (United States of America)",1st September 1953,1978,Rocco Rock,21st September 2002,,
984,Franklin Roberto Lashley,273 lbs. (124 kg) at 6'3'' (1.91 m),"Junction City, Kansas (United States of America)",16th July 1976 (age 45),5th January 2005 (17 years ago),Bobby Lashley,,,
524,Hiroyuki Saito,238 lbs. (108 kg) at 5'9'' (1.75 m),"Kawasaki, Kanagawa (Japan)",25th May 1961 (age 60),26th August 1978 (43 years ago),Hiro Saito,,,
1735,unknown,224 lbs. (102 kg) at 6'3'' (1.91 m),Georgia (United States of America),6th July 1976 (age 45),,Kory Chavis,,,
2122,Paul ?,155 lbs. (70 kg) at 5'5'' (1.65 m),"Albany, New York (United States of America)",16th September 1985 (age 36),2003,Cloudy,,,
481,William James Myers,245 lbs. (111 kg) at 6'1'' (1.85 m),"Detroit, Michigan (United States of America)",16th April 1937,1960,George Steele,17th February 2017,,
12285,Tevita Fifita,230 lbs. (104 kg) at 6'2'' (1.88 m),"Kissimmee, Florida (United States of America)",7th May 1983 (age 38),2008,Tanga Loa,,,
565,Adam Birch,191 lbs. (87 kg) at 5'9'' (1.75 m),"Fairfax, Virginia (United States of America)",18th July 1979 (age 42),12th October 1996 (25 years ago),Joey Mercury,,,
304,Kristina Laum,100 lbs. (45 kg) at 5'1'' (1.55 m),Seoul (South Korea),23rd November 1976 (age 45),1996,Kimona Wanalaya,,,
27881,Nhooph Al-Areebi,112 lbs. (51 kg) at 5'3'' (1.60 m),"Toronto, Ontario (Canada)",23rd November 1994 (age 27),20th January 2013 (9 years ago),Aliyah ,,,
19838,Luke Barry Robinson,210 lbs. (95 kg) at 6'1'' (1.85 m),"Auburn, Maine (United States of America)",16th January 1985 (age 37),2005,Luke Robinson,,,
93,Andrew James Robert Patrick Martin,282 lbs. (128 kg) at 6'6'' (1.98 m),"Whitby, Ontario (Canada)",17th March 1975,26th October 1997 (24 years ago),Test,13th March 2009,,
1255,Martin Wright,265 lbs. (120 kg) at 6'2'' (1.88 m),"Phoenix, Arizona (United States of America)",31st October 1964 (age 57),2004,The Boogeyman,,,
7381,Bryan Jesus Kelly,219 lbs. (99 kg) at 6'2'' (1.88 m),"Burke, Virginia (United States of America)",20th August 1981 (age 40),2006,Byron Saxton,,,
1202,Armando Guerrero Llanes,216 lbs. (98 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",7th July 1952 (age 69),1971,Mando Guerrero,,,
1709,John Tolos,,"Hamilton, Ontario (Canada)",5th April 1933,1952,John Tolos,28th May 2009,,
3354,unknown,115 lbs. (52 kg) at 5'2'' (1.57 m),Saitama (Japan),14th May 1974 (age 47),16th June 2004 (17 years ago),Cherry ,,,
14987,Mert Kaloglu,197 lbs. (89 kg) at 6'1'' (1.85 m),"Berlin, Berlin (Germany)",28th August 1991 (age 30),19th April 2008 (13 years ago),Cem Kaplan,,,
523,Dolgorsuren Serjbudee,243 lbs. (110 kg) at 6'0'' (1.83 m),Mongolia,1st December 1976 (age 45),10th August 2001 (20 years ago),Blue Wolf,,,
1065,Mark Romero,249 lbs. (113 kg) at 6'0'' (1.83 m),"Amarillo, Texas (United States of America)",21st June 1963 (age 58),1981,Mark Youngblood,,,
1301,Gerardo Hernández Estrada,191 lbs. (87 kg) at 5'10'' (1.78 m),"Monclova, Coahuila de Zaragoza (Mexico)",10th January 1958 (age 64),1978,Jerry Estrada,,,
2220,Yoshinori Ota,191 lbs. (87 kg) at 5'8'' (1.73 m),"Kofu, Yamanashi (Japan)",12th April 1982 (age 39),24th December 2005 (16 years ago),Ippei Ota,,,
2287,unknown,235 lbs. (107 kg) at 5'8'' (1.73 m),"San Antonio, Texas (United States of America)",9th March ???,1982,Rudy Boy González,,,
3814,unknown,,Mexico,29th March 1986 (age 35),??th November 2001,El Espanto Jr.,,,
4434,Eric Matlock,203 lbs. (92 kg) at 6'0'' (1.83 m),"Santa Cruz, California (United States of America)",,??th December 1997,Rudy Switchblade,,,
5586,Robert Berzins,209 lbs. (95 kg) at 5'8'' (1.73 m),"Stoke-on-Trent, Staffordshire, England (United Kingdom)",21st July 1982 (age 39),1999,Robbie Dynamite,,,
5746,unknown,154 lbs. (70 kg) at 5'7'' (1.70 m),"Shrewsbury, Shropshire, England (United Kingdom)",,2002,Tommy Gunn,,,
8080,Duane Paul Ludwig,170 lbs. (77 kg) at 5'10'' (1.78 m),"Denver, Colorado (United States of America)",4th August 1978 (age 43),5th February 2000 (22 years ago),Duane Ludwig,,,
9872,unknown,,Mexico,,,Mascarita Sagrada,,,3'11'' (1.19 m)
9958,Mike Vito Massenzio,185 lbs. (84 kg) at 6'2'' (1.88 m),"Teaneck, New Jersey (United States of America)",1st November 1982 (age 39),2nd April 2005 (16 years ago),Mike Massenzio,,,
10592,Aaron Isaac Rosa,205 lbs. (93 kg) at 6'4'' (1.93 m),"Del Rio, Texas (United States of America)",28th May 1983 (age 38),5th November 2005 (16 years ago),Aaron Rosa,,,
11770,Kimo Leopoldo,235 lbs. (107 kg) at 6'3'' (1.91 m),"München, Bayern (Germany)",5th January 1968 (age 54),9th September 1994 (27 years ago),Kimo Leopoldo,,,
12304,Marie Gavillet,121 lbs. (55 kg) at 5'5'' (1.65 m),Switzerland,6th July 1986 (age 35),14th February 2008 (14 years ago),Amy Cooper ,,,
12804,unknown,187 lbs. (85 kg) at 5'5'' (1.65 m),"Guadalajara, Jalisco (Mexico)",25th June 1980 (age 41),8th November 2000 (21 years ago),Relámpago Azul,,,
13107,Lavar F. Johnson,255 lbs. (116 kg) at 6'4'' (1.93 m),"Madera, California (United States of America)",11th June 1977 (age 44),16th January 2004 (18 years ago),Lavar Johnson,,,
14656,Igor Pokrajac,205 lbs. (93 kg) at 6'0'' (1.83 m),Zagreb (Croatia),2nd January 1979 (age 43),9th February 2003 (19 years ago),Igor Pokrajac,,,
15400,unknown,,United Kingdom,9th February ???,,MK McKinnan,,,
16206,Rudy Hill,,,,,The Rude Boy,,,
16935,Billy Gram,180 lbs. (82 kg) at 6'4'' (1.93 m),"Cleveland, Ohio (United States of America)",16th February 1960 (age 62),2007,Billy Gram,,,
17196,Pascal Krauss,170 lbs. (77 kg) at 6'1'' (1.85 m),"Breisach, Baden-Württemberg (Germany)",19th April 1987 (age 34),27th January 2008 (14 years ago),Pascal Krauss,,,
22374,Koray Besli,167 lbs. (76 kg) at 5'8'' (1.73 m),"Wien, Wien (Austria)",12th October 1993 (age 28),1st October 2011 (10 years ago),Koray,,,
22554,unknown,389 lbs. (176 kg) at 5'7'' (1.70 m),United States of America,,,Kongo,,,
22662,Jared Papazian,125 lbs. (57 kg) at 5'8'' (1.73 m),"Los Angeles, California (United States of America)",1st February 1988 (age 34),6th June 2008 (13 years ago),Jared Papazian,,,
23006,unknown,,United Kingdom,9th May 1985 (age 36),,LA Austin,,,
31031,Jason Melrose,209 lbs. (95 kg) at 5'11'' (1.80 m),,,??th September 2014,Primate,,,
302,Barry Horowitz,221 lbs. (100 kg) at 6'0'' (1.83 m),"St. Petersburg, Florida (United States of America)",24th March 1960 (age 61),1979,Barry Horowitz,,,
73,Michael Bucci,214 lbs. (97 kg) at 5'10'' (1.78 m),"Toms River, New Jersey (United States of America)",5th June 1972 (age 49),??th January 1991,Simon Dean,,,
613,Noah Schiavone,,"Craigsville, Virginia (United States of America)",7th November 1957 (age 64),1986,Tony Schiavone,,,
1127,Emmanuel Fernández,250 lbs. (113 kg) at 5'10'' (1.78 m),"El Paso, Texas (United States of America)",,1979,Manny Fernández,,,
1254,Nicholas Patrick Hamilton,220 lbs. (100 kg) at 6'2'' (1.88 m),"Lakeland, Florida (United States of America)",9th November 1959 (age 62),1979,Nick Patrick,,,
1008,Hiromichi Fuyuki,240 lbs. (109 kg) at 6'0'' (1.83 m),"Tokyo, Tokyo (Japan)",11th May 1960,4th May 1980 (41 years ago),Kodo Fuyuki,19th March 2003,,
1659,James Grady Johnson,,"Little Rock, Arkansas (United States of America)",5th February 1940,1961,Luke Graham,23rd June 2006,,
2740,Darren O'Byrne,215 lbs. (98 kg) at 6'2'' (1.88 m),Ireland,,9th September 2004 (17 years ago),Mad Man Manson,,,
2842,Hideo Takayama,231 lbs. (105 kg) at 6'1'' (1.85 m),"Osaka, Osaka (Japan)",19th October 1969,20th January 1993 (29 years ago),Bad Boy Hido,17th October 2021,,
15589,unknown,,"Ciudad de México, Ciudad de México (Mexico)",9th November ???,,Robin,,,
453,Sione Havea Vailahi,295 lbs. (134 kg) at 6'5'' (1.96 m),Nuku'alofa (Tonga),6th September 1958 (age 63),1981,The Barbarian,,,
1673,Oleg Aleksandrovich Prudius,302 lbs. (137 kg) at 6'6'' (1.98 m),Kiew (Ukraine),27th April 1979 (age 42),7th April 2006 (15 years ago),Vladimir Kozlov,,,
311,Christopher Pailles,446 lbs. (202 kg) at 6'4'' (1.93 m),"Atlantic City, New Jersey (United States of America)",7th November 1957,1981,King Kong Bundy,4th March 2019,,
182,Carlene Denise Moore-Begnaud,149 lbs. (68 kg) at 5'4'' (1.63 m),"New Orleans, Louisiana (United States of America)",27th August 1972 (age 49),1998,Jazz ,,,
827,John Jairo Bedoya Jr.,215 lbs. (98 kg) at 5'9'' (1.75 m),"New York City, New York (United States of America)",28th December 1977,1997,Xavier,16th August 2020,,
1137,Anthony White,261 lbs. (118 kg) at 6'3'' (1.91 m),"Roanoke, Virginia (United States of America)",23rd April 1954 (age 67),1972,Tony Atlas,,,
804,Terry Szopinski,323 lbs. (147 kg) at 6'5'' (1.96 m),"Pompano Beach, Florida (United States of America)",28th March 1962 (age 59),1986,The Warlord,,,
26684,Seini Draughn,218 lbs. (99 kg) at 5'11'' (1.80 m),Germany,27th November 1982 (age 39),2011,Lei-D Tapa ,,,
1404,Timothy Deane Sylvia,310 lbs. (141 kg) at 6'8'' (2.03 m),"Ellsworth, Maine (United States of America)",5th March 1976 (age 46),19th January 2001 (21 years ago),Tim Sylvia,,,
28993,Levi Rolla Cooper,320 lbs. (145 kg) at 6'2'' (1.88 m),"Clackamas, Oregon (United States of America)",24th July 1990 (age 31),24th January 2015 (7 years ago),Tucker,,,
992,Kentaro Shiga,198 lbs. (90 kg) at 6'2'' (1.88 m),"Shirosato, Ibaraki (Japan)",6th December 1974 (age 47),21st February 1994 (28 years ago),Kentaro Shiga,,,
1086,Angel Orsini,155 lbs. (70 kg) at 5'6'' (1.68 m),"Fort Lauderdale, Florida (United States of America)",26th August 1969 (age 52),1996,Riptide ,,,
2071,Gadowar Singh Sahota,225 lbs. (102 kg) at 5'10'' (1.78 m),Punjab (India),8th December 1954 (age 67),,Gama Singh,,,
2453,Tom Jussen,157 lbs. (71 kg) at 5'7'' (1.70 m),"Voerendaal, Limburg (Netherlands)",1979,,Mot Van Kunder,,,
2931,Dean Robert Peters,220 lbs. (100 kg) at 5'10'' (1.78 m),"Robbinsdale, Minnesota (United States of America)",22nd August 1958,1984,Brady Boone,16th December 1998,,
3229,Ross Lindsay Hart,,"Calgary, Alberta (Canada)",3rd January 1960 (age 62),,Ross Hart,,,
5547,Mark Pantalone,225 lbs. (102 kg) at 5'11'' (1.80 m),"Deptford, New Jersey (United States of America)",10th May 1972 (age 49),,WHACKS,,,
8068,Alessio Sakara,185 lbs. (84 kg) at 6'0'' (1.83 m),"Roma, Lazio (Italy)",2nd September 1981 (age 40),21st June 2002 (19 years ago),Alessio Sakara,,,
1903,Gary K. Mize,240 lbs. (109 kg) at 6'1'' (1.85 m),"Houston, Texas (United States of America)",28th April 1961,,Billy Joe Travis,22nd November 2002,,
2367,unknown,,"Minneapolis, Minnesota (United States of America)",,,Eddie Sharkey,,,
2799,unknown,,"Heddesheim, Baden-Württemberg (Germany)",,,Toby Nathland,,,
2940,Roberto Rubio,262 lbs. (119 kg) at 6'3'' (1.91 m),Bayamón (Puerto Rico),,2000,Sexy B,,,
3810,unknown,150 lbs. (68 kg) at 5'4'' (1.63 m),Japan,8th November 1978 (age 43),26th January 2003 (19 years ago),Bullfight Sora ,,,
3965,Frank H. McKenzie,280 lbs. (127 kg) at 6'9'' (2.06 m),"Edmonds, Washington (United States of America)",21st July 1930,1950,Tex McKenzie,31st May 2001,,
4532,Jerry Arotski,242 lbs. (110 kg) at 6'1'' (1.85 m),United States of America,1963,,Jerry Oske,??th December 1995,,
5329,Francisco Alonso Lutteroth,,"Guadalajara, Jalisco (Mexico)",19th September 1952,,Paco Alonso,6th July 2019,,
6602,unknown,256 lbs. (116 kg) at 5'10'' (1.78 m),"Duncan, British Columbia (Canada)",20th February 1975 (age 47),28th September 1999 (22 years ago),Marty Sugar,,,
7543,Wilson Gouveia,185 lbs. (84 kg) at 6'1'' (1.85 m),"Fortaleza, Ceará (Brazil)",3rd October 1978 (age 43),17th November 2001 (20 years ago),Wilson Gouveia,,,
7597,unknown,201 lbs. (91 kg) at 5'11'' (1.80 m),"London, Greater London, England (United Kingdom)",19th February 1987 (age 35),2001,Tony Sefton,,,
7780,Timothy Wallace Credeur II.,185 lbs. (84 kg) at 6'3'' (1.91 m),"Lafayette, Louisiana (United States of America)",9th July 1977 (age 44),24th March 2001 (20 years ago),Tim Credeur,,,
8838,Luca Rusconi,172 lbs. (78 kg) at 5'9'' (1.75 m),"Losone, Tessin (Switzerland)",12th May 1983 (age 38),2008,Belthazar,,,
8992,Brad Lavale Blackburn Jr.,170 lbs. (77 kg) at 5'10'' (1.78 m),"Los Angeles, California (United States of America)",25th May 1977 (age 44),15th August 2001 (20 years ago),Brad Blackburn,,,
10455,unknown,,"Pittsburgh, Pennsylvania (United States of America)",30th October 1940,1962,Johnny DeFazio,26th February 2021,,
12803,Luis Francisco Villareal Becerra,,"Guadalajara, Jalisco (Mexico)",1976,1995,El Egipcio,5th October 2014,,
13318,unknown,,"Memphis, Tennessee (United States of America)",,,Dustin Starr,,,
15454,Jeanne Basone,122 lbs. (55 kg) at 5'7'' (1.70 m),"Glendale, California (United States of America)",19th May 1969 (age 52),5th December 1985 (36 years ago),Jeanne Basone,,,
16209,Anthony Perosh,205 lbs. (93 kg) at 6'3'' (1.91 m),"Sydney, New South Wales (Australia)",10th May 1972 (age 49),29th November 2003 (18 years ago),Anthony Perosh,,,
16458,Charles Brenneman,170 lbs. (77 kg) at 5'10'' (1.78 m),"Hollidaysburg, Pennsylvania (United States of America)",9th February 1981 (age 41),28th July 2007 (14 years ago),Charlie Brenneman,,,
21569,Dustin Pague,135 lbs. (61 kg) at 5'9'' (1.75 m),"Harrisburg, Pennsylvania (United States of America)",5th August 1987 (age 34),11th October 2008 (13 years ago),Dustin Pague,,,
21691,Jannik Hammes,150 lbs. (68 kg) at 5'7'' (1.70 m),"Mülheim an der Ruhr, Nordrhein-Westfalen (Germany)",13th June 1993 (age 28),5th September 2009 (12 years ago),Jason Hendrix,,,
22697,unknown,205 lbs. (93 kg) at 5'8'' (1.73 m),New York (United States of America),,??th August 2007,Jonny Mangue,,,
23221,John Brumbaugh,,"Blythewood, South Carolina (United States of America)",26th October 1987 (age 34),6th July 2008 (13 years ago),John Skyler,,,
23937,Cristiano Marcello,155 lbs. (70 kg) at 5'9'' (1.75 m),"Río de Janeiro, Río de Janeiro (Brazil)",3rd December 1977 (age 44),25th June 1997 (24 years ago),Cristiano Marcello,,,
